Unnamed: 0,제목,URL,신청기간,대상자,선정방법,진행기간,활동목적,참여혜택 및 기대효과,진행절차,운영방식
11,[대학일자리+] (면접 심화) 면접 하이패스 : 2025 상반기_이공 (5월 19일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=aed12f1d71d152d2e19364282b42abe7&intlNsbjtSxnCd=,2025.05.09~2025.05.15,1학년 2학년 3학년 4학년 졸업생,선착순,2025.05.19 14:00~2025.05.19 15:50,2025년 상반기 채용을 대비하여 직무/임원 모의면접을 통해 학생들의 실질적인 취업 역량을 강화하고자 함.,"- 심화 면접 역량을 강화하여 조직적합성, 직무적합성, 인성 전반적인 면접 평가요소에 대비할 수 있도록 한다.
- 입사지원서 기반 질문에 대한 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청 (입사지원서 첨부파일 추가 필수)
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:하이패스))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내
4) 참여자는 면접 빈출 문항 및 입사지원서 기반 답변 준비 
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
12,[대학일자리+] (면접 심화) 면접 하이패스 : 2025 상반기_인문 (5월 19일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=43966f09078071451fe4e4e0d0009fe7&intlNsbjtSxnCd=,2025.05.09~2025.05.15,1학년 2학년 3학년 4학년 졸업생,선착순,2025.05.19 14:00~2025.05.19 15:50,2025년 상반기 채용을 대비하여 직무/임원 모의면접을 통해 학생들의 실질적인 취업 역량을 강화하고자 함.,"- 심화 면접 역량을 강화하여 조직적합성, 직무적합성, 인성 전반적인 면접 평가요소에 대비할 수 있도록 한다.
- 입사지원서 기반 질문에 대한 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청 (입사지원서 첨부파일 추가 필수)
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:하이패스))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내
4) 참여자는 면접 빈출 문항 및 입사지원서 기반 답변 준비 
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
13,"[대학일자리+] 릴레이 직무 컨설팅_경영지원, 재경",https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=2da3ca678dc156e1bf9c89f3b10f1895&intlNsbjtSxnCd=,2025.04.24~2025.05.15,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
14,[대학일자리+](졸업생특화) 2025학년도 직무별 포트폴리오 컨설팅 프로그램 (IT·디자인·마케팅)(QR신청 필수),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=a13f2fc1fb20e7f13a8506381b4661b0&intlNsbjtSxnCd=,2025.05.08~2025.05.22,4학년 졸업생,선발,2025.05.26 00:00~2025.06.25 00:00,"- 현직자의 관점에서 IT·디자인·마케팅 포트폴리오의 방향성을 제시함
- 1:1 포트폴리오 컨설팅 2회 제공을 통하여 완성도를 높일 수 있음  
- 컨설팅을 기반으로 취업역량 강화하여 취업지원 독려","- 직무별 현직자 특강 진행 
- 1:1 포트폴리오 컨설팅 2회 제공 (현직자/인사전문가)
- 본 프로그램 모두 수료한 학생 50% 대상으로 인턴십 매칭기회 제공","포스터 내 QR코드 인재풀 등록 →  포스터 내 QR코드 프로그램 신청 → 졸업생 우선 선발 → 위탁운영 업체 명단 송부 → 위탁운영 업체에서 참여 방법 안내
*차후 위탁업체 선정 후 선발 및 진행예정",위탁업체 운영
15,[대학일자리+] 졸업생도 상담 받고 싶어_면접 컨설팅,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=954db182555d8756d5d1d92e140b09ab&intlNsbjtSxnCd=,2025.04.29~2025.05.23,졸업생,선착순,2025.05.07 00:00~2025.05.29 17:30,"상담 및 프로그램 참여 기회가 상대적으로 적은 졸업생들의 상담 참여 니즈를 충족하고, 맞춤형 컨설팅으로 희망 직무 및 기업 취업을 원활하게 준비할 수 있도록 한다.","- 건국대학교 학생들이 졸업 후에도 지속적인 취업상담 서비스 제공 받을 수 있도록 함.
- 맞춤 컨설팅으로 취업애로사항을 해소.","1) 위인전 신청 
2) 졸업생 인재풀 등록 ( 위인전 접속>학습관리>취창업비교과>졸업생 특화 프로그램 인재풀 등록 게시물 신청)
2) 고용24 신청 (고용24->취업지원->취업역량강화->우리학교 취업지원실->건국대학교->상담예약)
3) 신청 후 컨설턴트 배정 및 유선 연락으로 개별 일정 조정(신청 후 2-3일 소요)
4) 상담 진행",취업지원관 진행
16,[대학일자리+] 릴레이 직무 컨설팅_QA/QC&생산,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=95ad658ac4280e277c58e22e9d35444e&intlNsbjtSxnCd=,2025.04.24~2025.05.23,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
17,[대학일자리+] 릴레이 직무 컨설팅_상품/서비스 기획,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=4ca14f56661e5ede06a24654bfba0e95&intlNsbjtSxnCd=,2025.04.24~2025.05.23,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
18,[혁신사업] [직무의 발견] 코멘토 채용트렌드 특강_5/26 16시,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=759b92b30e54e591edd0ed718ef54409&intlNsbjtSxnCd=,2025.05.12~2025.05.25,1학년 2학년 3학년 4학년,선착순,2025.05.26 16:00~2025.05.26 18:00,AI시대의 취준 전략과 채용 트렌드,,참가신청 링크: https://comento.typeform.com/to/dr7bSGmh,온라인 / 업체 운영
19,[혁신사업] [KCC] 커리어로드맵 작성법 특강 1차 - 학기중 계획 세우기,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=9d316dd84f12f0258b18f3cd0c0b6d4a&intlNsbjtSxnCd=,2025.05.12~2025.05.25,1학년 2학년 3학년 4학년,선착순,2025.05.26 14:00~2025.05.26 16:00,커리어로드맵 작성법(학기중 계획 세우기),휴학생은 특강 참여가 가능하나 마일리지 적립은 불가합니다,,온라인 채팅 강의(ZOOM) / 업체 운영
20,[대학일자리+] 릴레이 직무 컨설팅_배양/정제 공정,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=ac241e491fd98f2b43be50c540d8601c&intlNsbjtSxnCd=,2025.04.24~2025.05.26,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
21,[대학일자리+] 릴레이 직무 컨설팅_컨텐츠/광고 기획,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=8702a2460ed4a28b4e9d30ce9ad11c73&intlNsbjtSxnCd=,2025.04.24~2025.05.26,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
